,date,type,location,fatalities,ground_fatalities,crew,passengers,operator,first_flight,damage,phase,nature,manufacturer,year,month,day,aircraft_age
0,1919-08-02,Caproni Ca.48,Italy,14,0,2.0,12.0,Caproni,1919-01-01,Destroyed,En route (ENR),Passenger,Caproni,1919,August,Saturday,213
1,1919-08-11,Felixstowe Fury,United Kingdom,1,0,7.0,0.0,RAF,1918-01-01,Damaged beyond repair,Initial climb (ICL),Test,Felixstowe,1919,August,Monday,587
3,1921-08-26,Farman F.60 Goliath,France,2,0,2.0,0.0,SNETA,1920-01-01,Substantial,En route (ENR),Cargo,Farman,1921,August,Friday,603
5,1922-04-07,Farman F.60 Goliath,France,5,0,2.0,3.0,Grands Express A�riens,1920-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Farman,1922,April,Friday,827
7,1923-05-14,Farman F.60 Goliath,France,6,0,2.0,4.0,Air Union,1922-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Farman,1923,May,Monday,498
8,1923-08-27,Farman F.60 Goliath,United Kingdom,1,0,2.0,11.0,Air Union,1922-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Farman,1923,August,Monday,603
10,1926-08-18,Bl�riot 155,United Kingdom,4,0,2.0,13.0,Air Union,1926-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Bl�riot,1926,August,Wednesday,229
12,1927-05-05,Farman F.61 Goliath,Atlantic Ocean,2,0,2.0,0.0,SGTA,1921-01-01,Damaged beyond repair,En route (ENR),Cargo,Farman,1927,May,Thursday,2315
13,1927-08-22,Fokker F.VIII,United Kingdom,1,0,2.0,9.0,KLM,1926-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Fokker,1927,August,Monday,598
15,1928-05-12,Ford 4-AT-A Tri-Motor,United States of America,2,0,2.0,0.0,Ford Air Freight Lines,1926-01-01,Damaged beyond repair,Takeoff (TOF),Cargo,Ford,1928,May,Saturday,862
16,1928-05-23,Farman F.63bis Goliath,Germany,3,0,2.0,1.0,SGTA,1923-01-01,Damaged beyond repair,Initial climb (ICL),International Scheduled Passenger,Farman,1928,May,Wednesday,1969
17,1928-08-25,Ford 4-AT-B Tri-Motor,United States of America,7,0,2.0,5.0,British Columbia Airways,1928-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Ford,1928,August,Saturday,237
18,1928-11-23,Ford 4-AT-B Tri-Motor,United States of America,3,0,2.0,3.0,Spokane Airways,1928-01-01,Destroyed,Approach (APR),Domestic Non Scheduled Passenger,Ford,1928,November,Friday,327
19,1928-12-01,Ford 4-AT-C Tri-Motor,United States of America,5,0,1.0,4.0,Sunbeam Air Transport Co.,1928-01-01,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,Ford,1928,December,Saturday,335
21,1929-03-17,Ford 4-AT-B Tri-Motor,United States of America,14,0,1.0,14.0,Colonial Western Airlines,1928-01-01,Damaged beyond repair,Initial climb (ICL),Domestic Non Scheduled Passenger,Ford,1929,March,Sunday,441
23,1929-04-21,Ford 5-AT-B Tri-Motor,United States of America,5,1,2.0,3.0,Maddux Airlines,1928-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Ford,1929,April,Sunday,476
24,1929-05-16,Vickers 170 Vanguard,United Kingdom,2,0,2.0,0.0,Vickers-Armstrongs,1923-01-01,Damaged beyond repair,En route (ENR),Test,Vickers,1929,May,Thursday,2327
26,1929-06-17,Handley Page W.10,United Kingdom,7,0,2.0,11.0,Imperial Airways,1926-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Handley,1929,June,Monday,1263
28,1929-09-03,Ford 5-AT-B Tri-Motor,United States of America,8,0,3.0,5.0,Transcontinental Air Transport - TAT,1929-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Ford,1929,September,Tuesday,245
29,1929-09-06,DH.66 Hercules,Iran,3,0,2.0,3.0,Imperial Airways,1927-01-01,Damaged beyond repair,Landing (LDG),International Scheduled Passenger,DH.66,1929,September,Friday,979
33,1930-01-19,Ford 5-AT-C Tri-Motor,United States of America,16,0,2.0,14.0,Maddux Airlines,1929-01-01,Destroyed,En route (ENR),International Scheduled Passenger,Ford,1930,January,Sunday,383
35,1930-02-10,Farman F.63bis Goliath,United Kingdom,2,0,2.0,4.0,Air Union,1920-01-01,Destroyed,Landing (LDG),International Scheduled Passenger,Farman,1930,February,Monday,3693
36,1930-02-23,Fokker F.10A,United States of America,3,0,3.0,0.0,Western Air Express,1929-01-01,Damaged beyond repair,En route (ENR),Unknown,Fokker,1930,February,Sunday,418
37,1930-06-05,Ford 5-AT-B Tri-Motor,United States of America,1,0,2.0,13.0,Colonial Air Transport,1929-01-01,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,Ford,1930,June,Thursday,520
38,1930-07-09,Farman F.63bis Goliath,Netherlands,1,0,3.0,0.0,SGTA,1921-01-01,Destroyed,En route (ENR),Cargo,Farman,1930,July,Wednesday,3476
39,1930-08-22,Ford 5-AT-C Tri-Motor,Czech Republic,12,0,2.0,11.0,CSA,1929-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Ford,1930,August,Friday,598
40,1930-10-30,Handley Page W.8g,France,3,0,3.0,3.0,Imperial Airways,1924-01-01,Damaged beyond repair,Initial climb (ICL),International Scheduled Passenger,Handley,1930,October,Thursday,2494
41,1930-11-07,Junkers G.24,Brazil,1,0,4.0,4.0,Syndicato Condor,1925-01-01,Damaged beyond repair,En route (ENR),Passenger,Junkers,1930,November,Friday,2136
42,1930-11-21,Dornier Do R4 Superwal,Mediterranean Sea,6,0,4.0,2.0,SANA,1928-01-01,Missing,En route (ENR),Passenger,Dornier,1930,November,Friday,1055
43,1930-11-24,Ford 5-AT-C Tri-Motor,United States of America,2,0,2.0,0.0,Ford Motor Company,1929-01-01,Damaged beyond repair,Landing (LDG),Test,Ford,1930,November,Monday,692
44,1931-03-31,Fokker F.10A,United States of America,8,0,2.0,6.0,TWA,1929-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Fokker,1931,March,Tuesday,819
45,1931-08-09,Ford 5-AT-B Tri-Motor,United States of America,6,0,2.0,4.0,American Airways,1929-01-01,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,Ford,1931,August,Sunday,950
47,1931-09-19,Ford XB-906 (Tri-Motor),United States of America,2,0,2.0,0.0,Ford Motor Company,1931-01-01,Damaged beyond repair,Maneuvering (MNV),Test,Ford,1931,September,Saturday,261
48,1931-12-19,Ford 4-AT-E Tri-Motor,United States of America,1,0,2.0,0.0,TWA,1928-01-01,Damaged beyond repair,Takeoff (TOF),Ferry/positioning,Ford,1931,December,Saturday,1448
50,1932-07-16,Ford 5-AT-C Tri-Motor,Chile,9,0,3.0,6.0,Panagra,1929-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Ford,1932,July,Saturday,1292
53,1932-09-17,Lior� et Olivier 212,United Kingdom,1,0,2.0,0.0,Air Union,1926-01-01,Damaged beyond repair,Approach (APR),Cargo,Lior�,1932,September,Saturday,2451
54,1932-10-26,Ford 5-AT-D Tri-Motor,Bolivia,2,0,2.0,0.0,LAB,1932-01-01,Damaged beyond repair,Unknown (UNK),Cargo,Ford,1932,October,Wednesday,299
55,1932-12-14,Ford 5-AT-B Tri-Motor,United States of America,2,0,2.0,0.0,TWA,1929-01-01,Damaged beyond repair,Landing (LDG),Cargo,Ford,1932,December,Wednesday,1443
57,1933-01-24,Ford 5-AT-D Tri-Motor,United States of America,2,0,3.0,0.0,Pacific Air Transport,1931-01-01,Damaged beyond repair,Takeoff (TOF),Cargo,Ford,1933,January,Tuesday,754
58,1933-03-28,A.W. Argosy II,Belgium,15,0,3.0,12.0,Imperial Airways,1928-01-01,Destroyed,En route (ENR),International Scheduled Passenger,A.W.,1933,March,Tuesday,1913
59,1933-03-31,Ford 4-AT-B Tri-Motor,United States of America,7,0,2.0,11.0,Private,1928-01-01,Damaged beyond repair,Unknown (UNK),Domestic Non Scheduled Passenger,Ford,1933,March,Friday,1916
60,1933-08-29,Ford 5-AT-B Tri-Motor,United States of America,5,0,2.0,3.0,TWA,1928-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Ford,1933,August,Tuesday,2067
64,1934-03-05,Ford 4-AT-B Tri-Motor,Honduras,1,0,2.0,10.0,Morgan Air Lines,1928-01-01,Damaged beyond repair,Initial climb (ICL),Passenger,Ford,1934,March,Monday,2255
65,1934-03-22,Ford 5-AT-C Tri-Motor,Peru,4,0,3.0,12.0,Panagra,1929-01-01,Damaged beyond repair,Takeoff (TOF),International Scheduled Passenger,Ford,1934,March,Thursday,1906
66,1934-05-31,Lior� et Olivier 213,United Kingdom,2,0,2.0,0.0,Air France,1928-01-01,Damaged beyond repair,Approach (APR),Cargo,Lior�,1934,May,Thursday,2342
68,1934-06-11,Ford 5-AT-C Tri-Motor,Argentina,5,0,4.0,6.0,Panagra,1929-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Ford,1934,June,Monday,1987
69,1934-07-27,Curtiss AT-32C Condor II,Germany,12,0,3.0,9.0,Swissair,1934-01-01,Destroyed,En route (ENR),Passenger,Curtiss,1934,July,Friday,207
71,1934-10-19,DH.86 Express,Australia,11,0,2.0,9.0,Holyman's Airways,1934-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,DH.86,1934,October,Friday,291
73,1934-11-15,DH.86 Express,Australia,4,0,3.0,1.0,Qantas,1934-01-01,Damaged beyond repair,En route (ENR),Ferry/positioning,DH.86,1934,November,Thursday,318
74,1934-12-10,Ford 4-AT-E Tri-Motor,Cuba,4,0,3.0,5.0,Cubana,1929-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Ford,1934,December,Monday,2169
75,1934-12-20,Douglas DC-2-115A,Iraq,7,0,4.0,3.0,KLM,1934-01-01,Destroyed,En route (ENR),Int'l Non Scheduled Passenger,Douglas,1934,December,Thursday,353
77,1935-04-06,Fokker F.XII,Germany,7,0,5.0,2.0,KLM,1930-01-01,Destroyed,En route (ENR),International Scheduled Passenger,Fokker,1935,April,Saturday,1921
79,1935-05-06,Douglas DC-2-112,United States of America,5,0,2.0,6.0,TWA,1935-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1935,May,Monday,125
81,1935-05-18,Tupolev ANT-20 Maxim Gorky,Russia,35,9,2.0,33.0,Tupolev,1934-01-01,Damaged beyond repair,Maneuvering (MNV),Demonstration,Tupolev,1935,May,Saturday,502
82,1935-05-18,Ford 4-AT-E Tri-Motor,United States of America,3,0,2.0,10.0,Knowles Flying Service,1928-01-01,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,Ford,1935,May,Saturday,2694
83,1935-06-24,Ford 5-AT-B Tri-Motor,Colombia,10,0,2.0,11.0,SACO,1928-01-01,Destroyed,Takeoff (TOF),Domestic Scheduled Passenger,Ford,1935,June,Monday,2731
84,1935-06-24,Ford 5-AT-D Tri-Motor,Colombia,7,0,3.0,4.0,SCADTA,1932-01-01,Destroyed,Taxi (TXI),Domestic Scheduled Passenger,Ford,1935,June,Monday,1270
85,1935-07-14,Fokker F.XXII,Netherlands,6,0,5.0,15.0,KLM,1935-01-01,Destroyed,Initial climb (ICL),International Scheduled Passenger,Fokker,1935,July,Sunday,194
86,1935-07-20,Douglas DC-2-115E,Switzerland,13,0,4.0,9.0,KLM,1935-01-01,Destroyed,En route (ENR),International Scheduled Passenger,Douglas,1935,July,Saturday,200
89,1935-10-06,Douglas DC-2A-127,United States of America,3,0,3.0,0.0,Standard Oil Company,1934-01-01,Damaged beyond repair,Unknown (UNK),Unknown,Douglas,1935,October,Sunday,643
91,1935-12-10,Savoia-Marchetti S.73,United Kingdom,11,0,4.0,7.0,Sabena,1935-01-01,Damaged beyond repair,Approach (APR),International Scheduled Passenger,Savoia-Marchetti,1935,December,Tuesday,343
92,1935-12-24,Ford 5-AT-D Tri-Motor,Peru,2,2,2.0,0.0,Panagra,1932-01-01,Damaged beyond repair,Approach (APR),Test,Ford,1935,December,Tuesday,1453
94,1936-01-14,Douglas DC-2-120,United States of America,17,0,3.0,14.0,American Airlines,1934-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Douglas,1936,January,Tuesday,743
97,1936-03-26,Ford 5-AT-B Tri-Motor,Mexico,14,0,4.0,10.0,Mexicana,1928-01-01,Damaged beyond repair,En route (ENR),Int'l Non Scheduled Passenger,Ford,1936,March,Thursday,3007
98,1936-04-07,Douglas DC-2-112,United States of America,12,0,3.0,11.0,TWA,1934-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1936,April,Tuesday,827
99,1936-04-11,Sikorsky S-42,Trinidad and Tobago,3,0,7.0,18.0,Pan Am,1935-01-01,Substantial,Takeoff (TOF),International Scheduled Passenger,Sikorsky,1936,April,Saturday,466
106,1936-08-15,Fokker F.XII,France,2,0,2.0,0.0,Aviaci�n Nacional,1931-01-01,Damaged beyond repair,Approach (APR),Ferry/positioning,Fokker,1936,August,Saturday,2053
107,1936-08-22,Short S.17 Kent,Greece,2,0,4.0,7.0,Imperial Airways,1931-01-01,Damaged beyond repair,Landing (LDG),International Scheduled Passenger,Short,1936,August,Saturday,2060
110,1936-09-25,Boulton Paul P.71A,United Kingdom,2,0,2.0,0.0,Imperial Airways,1934-01-01,Damaged beyond repair,En route (ENR),Cargo,Boulton,1936,September,Friday,998
111,1936-10-10,Douglas DC-2-118B,Guatemala,3,0,3.0,0.0,Panagra,1934-01-01,Damaged beyond repair,En route (ENR),Ferry/positioning,Douglas,1936,October,Saturday,1013
117,1936-12-09,Douglas DC-2-115E,United Kingdom,15,0,4.0,13.0,KLM,1935-01-01,Destroyed,Initial climb (ICL),International Scheduled Passenger,Douglas,1936,December,Wednesday,708
118,1937-01-26,Sabca Savoia-Marchetti S.73P,Algeria,12,0,4.0,8.0,Sabena,1936-01-01,Damaged beyond repair,Approach (APR),International Scheduled Passenger,Sabca,1937,January,Tuesday,391
119,1937-02-09,Douglas DC-3A-197,United States of America,11,0,3.0,8.0,United Airlines,1936-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Douglas,1937,February,Tuesday,405
121,1937-03-24,Short S.23 Empire Flying Boat Mk I,France,5,0,5.0,1.0,Imperial Airways,1937-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Short,1937,March,Wednesday,82
122,1937-03-25,Douglas DC-2-112,United States of America,13,0,3.0,10.0,TWA,1934-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Douglas,1937,March,Thursday,1179
123,1937-04-03,Douglas DC-3-194B,United States of America,8,0,2.0,6.0,KLM,1937-01-01,Destroyed,En route (ENR),Ferry/positioning,Douglas,1937,April,Saturday,92
126,1937-07-28,Douglas DC-2-115L,Belgium,15,0,4.0,11.0,KLM,1936-01-01,Destroyed,En route (ENR),International Scheduled Passenger,Douglas,1937,July,Wednesday,574
127,1937-08-02,Sikorsky S-43B,Panama,14,0,3.0,11.0,Panagra,1935-01-01,Destroyed,Approach (APR),International Scheduled Passenger,Sikorsky,1937,August,Monday,944
129,1937-08-06,Douglas DC-2-152,Romania,6,0,3.0,3.0,"Aeroflot, International",1935-01-01,Destroyed,En route (ENR),International Scheduled Passenger,Douglas,1937,August,Friday,948
130,1937-08-08,Sikorsky S-43W,China,3,0,4.0,7.0,CNAC,1936-01-01,Damaged beyond repair,Landing (LDG),International Scheduled Passenger,Sikorsky,1937,August,Sunday,585
131,1937-08-10,Douglas DC-2-112,United States of America,4,0,3.0,6.0,Eastern Air Lines,1934-01-01,Damaged beyond repair,Landing (LDG),Domestic Scheduled Passenger,Douglas,1937,August,Tuesday,1317
132,1937-08-23,Douglas DC-2-118A,Argentina,3,0,3.0,0.0,Panagra,1935-01-01,Damaged beyond repair,En route (ENR),Cargo,Douglas,1937,August,Monday,965
133,1937-10-01,Short S.23 Empire Flying Boat Mk I,Greece,3,0,5.0,9.0,Imperial Airways,1937-01-01,Damaged beyond repair,Landing (LDG),International Scheduled Passenger,Short,1937,October,Friday,273
134,1937-10-06,Douglas DC-3-194B,Indonesia,4,0,4.0,8.0,KLM,1937-01-01,Damaged beyond repair,Initial climb (ICL),International Scheduled Passenger,Douglas,1937,October,Wednesday,278
135,1937-10-17,Douglas DC-3A-197,United States of America,19,0,3.0,16.0,United Airlines,1936-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Douglas,1937,October,Sunday,655
136,1937-10-27,Dewoitine D.333,Morocco,6,0,3.0,3.0,Air France,1934-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Dewoitine,1937,October,Wednesday,1395
138,1937-11-23,Douglas DC-2-115D,Bulgaria,6,0,3.0,3.0,LOT,1934-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Douglas,1937,November,Tuesday,1422
141,1937-12-05,Short S.23 Empire Flying Boat Mk I,Italy,2,0,6.0,7.0,Imperial Airways,1937-01-01,Damaged beyond repair,Takeoff (TOF),International Scheduled Passenger,Short,1937,December,Sunday,338
145,1938-01-10,Lockheed 14-H Super Electra,United States of America,10,0,2.0,8.0,Northwest Airlines,1937-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Lockheed,1938,January,Monday,374
151,1938-02-13,CANT Z.506,Mediterranean Sea,14,0,4.0,10.0,Ala Littoria,1936-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,CANT,1938,February,Sunday,774
153,1938-03-01,Douglas DC-2-112,United States of America,9,0,3.0,6.0,TWA,1935-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1938,March,Tuesday,1155
155,1938-03-23,Dewoitine D.338,France,8,0,3.0,5.0,Air France,1937-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Dewoitine,1938,March,Wednesday,446
156,1938-04-30,Savoia-Marchetti S.73,Italy,19,0,5.0,14.0,Ala Littoria,1937-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Savoia-Marchetti,1938,April,Saturday,484
157,1938-05-16,Lockheed 14-H2 Super Electra,United States of America,9,0,2.0,7.0,Northwest Airlines,1938-01-01,Damaged beyond repair,En route (ENR),Ferry/positioning,Lockheed,1938,May,Monday,135
159,1938-05-24,Douglas DST-A-207A (DC-3),United States of America,10,0,3.0,7.0,United Airlines,1938-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1938,May,Tuesday,143
160,1938-06-19,Douglas DC-2-118A,Chile,4,0,4.0,0.0,Panagra,1934-01-01,Damaged beyond repair,En route (ENR),Cargo,Douglas,1938,June,Sunday,1630
162,1938-07-08,Lockheed 14-H Super Electra,United States of America,1,0,2.0,8.0,Northwest Airlines,1937-01-01,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,Lockheed,1938,July,Friday,553
163,1938-07-14,Savoia-Marchetti S-66,Mediterranean Sea,20,0,4.0,16.0,Ala Littoria,1935-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Savoia-Marchetti,1938,July,Thursday,1290
164,1938-07-15,Douglas DC-3-228,Argentina,0,1,5.0,8.0,Pan Am,1937-01-01,Damaged beyond repair,Initial climb (ICL),International Scheduled Passenger,Douglas,1938,July,Friday,560
167,1938-07-28,Martin M-130,Pacific Ocean,15,0,9.0,6.0,Pan Am,1934-01-01,Missing,En route (ENR),International Scheduled Passenger,Martin,1938,July,Thursday,1669
169,1938-08-13,Savoia-Marchetti S.73,Germany,17,0,4.0,13.0,CSA,1937-01-01,Damaged beyond repair,Approach (APR),International Scheduled Passenger,Savoia-Marchetti,1938,August,Saturday,589
170,1938-08-15,Junkers Ju-52/3mfe,Brazil,9,0,4.0,5.0,Syndicato Condor,1933-01-01,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,Junkers,1938,August,Monday,2052
172,1938-08-24,Douglas DC-2-221,China,14,0,3.0,14.0,CNAC,1937-01-01,Substantial,En route (ENR),Domestic Scheduled Passenger,Douglas,1938,August,Wednesday,600
177,1938-10-20,Ford 4-AT-B Tri-Motor,United States of America,1,0,1.0,0.0,Private,1928-01-01,Damaged beyond repair,Unknown (UNK),Unknown,Ford,1938,October,Thursday,3945
178,1938-10-25,Douglas DC-2-210,Australia,18,0,4.0,14.0,ANA,1937-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1938,October,Tuesday,662
180,1938-11-14,Douglas DC-3-194D,Netherlands,6,0,5.0,14.0,KLM,1938-01-01,Damaged beyond repair,Approach (APR),International Scheduled Passenger,Douglas,1938,November,Monday,317
182,1938-11-18,Lockheed 14-H2 Super Electra,Canada,2,0,2.0,0.0,TCAL,1938-01-01,Damaged beyond repair,Takeoff (TOF),Cargo,Lockheed,1938,November,Friday,321
183,1938-11-22,Lockheed 14-WF62 Super Electra,United Kingdom,2,0,2.0,0.0,British Airways,1938-01-01,Damaged beyond repair,Unknown (UNK),Test,Lockheed,1938,November,Tuesday,325
188,1938-11-29,Douglas DC-3A-191,United States of America,5,0,3.0,4.0,United Airlines,1937-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1938,November,Tuesday,697
190,1938-12-09,Lockheed 14-WF62 Super Electra,Netherlands,4,0,4.0,0.0,KLM,1938-01-01,Damaged beyond repair,Takeoff (TOF),Training,Lockheed,1938,December,Friday,342
191,1939-01-07,Douglas DC-2-115B,France,5,0,3.0,14.0,Swissair,1934-01-01,Damaged beyond repair,Approach (APR),International Scheduled Passenger,Douglas,1939,January,Saturday,1832
192,1939-01-13,Lockheed 14-H Super Electra,United States of America,4,0,2.0,2.0,Northwest Airlines,1937-01-01,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,Lockheed,1939,January,Friday,742
